Latitude and Longitude,Class of Land,Mean_RVI,
"(10.323727047081501, 105.2516346045924)",Rice,0.681013505,
"(10.322364360592521, 105.27843410554115)",Rice,0.705762863,
"(10.321455902933202, 105.25254306225168)",Rice,0.73419102,
"(10.324181275911162, 105.25118037576274)",Rice,0.62808466,
"(10.324635504740822, 105.27389181724476)",Rice,0.671165784,
"(10.323727047081501, 105.28070524968936)",Rice,0.721515099,
"(10.325089733570481, 105.23937042619212)",Rice,0.710114479,
"(10.324181275911162, 105.25390574874059)",Rice,0.723378976,
"(10.321001674103542, 105.24436694331814)",Rice,0.70840915,
"(10.321001674103542, 105.2416415703403)",Rice,0.719350179,
"(10.324635504740822, 105.25572266405916",Rice,0.709001382,
"(10.321001674103542, 105.2334654514068)",Rice,0.706502676,
"(10.32327281825184, 105.26753261362978)",Rice,0.707048575,
"(10.324181275911162, 105.28115947851899)",Rice,0.714469274,
"(10.321001674103542, 105.2598107235259)",Rice,0.678548574,
"(10.32327281825184, 105.24073311268103)",Rice,0.653386275,
"(10.324635504740822, 105.27843410554115)",Rice,0.699688911,
"(10.324181275911162, 105.2348281378957)",Rice,0.72251908,
"(10.321455902933202, 105.23301122257715)",Rice,0.691804171,
"(10.323727047081501, 105.26026495235556)",Rice,0.702428023,
"(10.325089733570481, 105.28025102085971)",Rice,0.737090508,
"(10.32009321644422, 105.23210276491787)",Rice,0.721718232,
"(10.322364360592521, 105.27797987671151)",Rice,0.699113528,
"(10.32327281825184, 105.27752564788187)",Rice,0.717874368,
"(10.324635504740822, 105.2652614694816)",Rice,0.696882884,
"(10.320547445273881, 105.2266520189622)",Rice,0.697771629,
"(10.323727047081501, 105.2652614694816)",Rice,0.703478495,
"(10.325089733570481, 105.23528236672536)",Rice,0.717651208,
"(10.324635504740822, 105.26798684245944)",Rice,0.684321245,
"(10.32281858942218, 105.26435301182232)",Rice,0.626069148,
"(10.325089733570481, 105.26344455416304)",Rice,0.703354041,
"(10.323727047081501, 105.24572962980707)",Rice,0.745952606,
"(10.324635504740822, 105.2334654514068)",Rice,0.717628797,
"(10.325089733570481, 105.23164853608824)",Rice,0.735056877,
"(10.32327281825184, 105.26571569831123)",Rice,0.684210936,
"(10.31963898761456, 105.23074007842897)",Rice,0.710138798,
"(10.320547445273881, 105.22983162076967)",Rice,0.668632428,
"(10.32281858942218, 105.28115947851899)",Rice,0.714733362,
"(10.321910131762861, 105.23028584959931)",Rice,0.689683994,
"(10.324181275911162, 105.26071918118518)",Rice,0.674366872,
"(10.325089733570481, 105.26026495235556)",Rice,0.707430283,
"(10.325089733570481, 105.2448211721478)",Rice,0.745970567,
"(10.324181275911162, 105.24300425682924)",Rice,0.696959337,
"(10.32281858942218, 105.27570873256332)",Rice,0.710098743,
"(10.323727047081501, 105.28252216500792)",Rice,0.695512374,
"(10.31963898761456, 105.23937042619212)",Rice,0.680056413,
"(10.32281858942218, 105.28161370734864)",Rice,0.669185162,
"(10.324635504740822, 105.28161370734864)",Rice,0.701747974,
"(10.32327281825184, 105.26117341001483)",Rice,0.692618847,
"(10.32327281825184, 105.2788883343708)",Rice,0.708990494,
"(10.324181275911162, 105.2516346045924)",Rice,0.633287589,
"(10.323727047081501, 105.23982465502175)",Rice,0.629879236,
"(10.31963898761456, 105.23028584959931)",Rice,0.693636497,
"(10.32327281825184, 105.28706445330431)",Rice,0.759683371,
"(10.324181275911162, 105.27752564788187)",Rice,0.684243043,
"(10.323727047081501, 105.26480724065195)",Rice,0.717229684,
"(10.321910131762861, 105.2266520189622)",Rice,0.714403947,
"(10.324181275911162, 105.25072614693312)",Rice,0.655159632,
"(10.32327281825184, 105.27071221543727)",Rice,0.70831275,
"(10.325089733570481, 105.25890226586662)",Rice,0.743845622,
"(10.321455902933202, 105.25208883342202)",Rice,0.717924356,
"(10.324635504740822, 105.26162763884446)",Rice,0.713177681,
"(10.325089733570481, 105.28751868213396)",Rice,0.733093341,
"(10.32009321644422, 105.24845500278491)",Rice,0.77041928,
"(10.324181275911162, 105.23982465502175)",Rice,0.639467796,
"(10.31963898761456, 105.23891619736247)",Rice,0.691479921,
